Michael Jackson,181
Johnny Cash,177
Beastie Boys,171
Joan Baez,163
Radiohead,160
Franz Ferdinand,160
Duran Duran,159
Neil Diamond,159
The Doors,158
Ella Fitzgerald,158
Aerosmith,156
Faron Young,155
The Rolling Stones,154
Jimi Hendrix,153
Kenny Rogers,153
Willie Nelson,153
The Cure,151
Venom,151
Frank Sinatra,149
Petra,148
Sonny Rollins,148
Elvis Presley,148
Joe Satriani,144
James Taylor,143
U2,142
Bob Dylan,142
Pretenders,141
Carly Simon,141
R.E.M.,140
Gary Moore,139
Aretha Franklin,139
Ray Charles,139
David Bowie,139
Daniel Johnston,139
Gilberto Santa Rosa,138
Jerry Goldsmith,135
Red Hot Chili Peppers,134
Gregory Isaacs,134
Muse,134
ZZ Top,133
Peggy Lee,132
The Hollies,132
Coleman Hawkins,132
Bruce Springsteen,132
Billie Holiday,131
Britney Spears,131
June Christy,131
Herbie Hancock,131
Alice Cooper,130
Nine Inch Nails,130
The Police,130
Neil Young,129
Simon Harris,128
Carl Perkins,128
Brad Mehldau,128
Cat Stevens,128
Mark Lowry,128
Cradle Of Filth,128
Simple Minds,128
Bobby Darin,127
Electric Light Orchestra,127
Madonna,127
The Stranglers,127
Jim Reeves,127
Tori Amos,126
Alan Silvestri,126
Kansas,126
Stevie Wonder,126
Dolly Parton,125
John Denver,125
John Michael Talbot,125
Nina Simone,123
Lou Reed,123
Ike & Tina Turner,123
Charles Mingus,123
Miles Davis,122
Seal,122
Billy Bragg,122
Julie London,122
Shakira,121
Van Halen,121
Mariah Carey,121
Small Faces,121
Newsboys,120
Spinners,120
Genesis,120
Pete Seeger,120
Pet Shop Boys,119
Kidz Bop Kids,119
Foo Fighters,119
Black Uhuru,119
Alphaville,119
Santana,119
Wilson Pickett,119
Leadbelly,118
Burl Ives,118
NOFX,118
Bad Religion,118
Ultravox,118
Cher,118
Ozzy Osbourne,118
Pulp,118
Nick Cave & The Bad Seeds,118
Intocable,118
Line Renaud,117
Eddy Grant,117
Howlin' Wolf,117
Johnny Winter,117
Pearl Jam,117
Black Sabbath,117
Nirvana,116
Ben E. King,116
Whitesnake,116
The Smashing Pumpkins,116
New Order,116
The Who,116
Enrique Iglesias,115
Janis Joplin,115
Panpipes,115
Barry White,114
Blink-182,114
Reel Big Fish,114
B.B. King,114
Vangelis,114
Less Than Jake,114
Audio Adrenaline,113
Chet Baker,113
MxPx,113
Roxy Music,113
Selena,112
Tony Bennett,112
CÃ©line Dion,112
Korn,112
Randy Travis,112
Sepultura,112
Spiritualized,112
Incubus,112
Cab Calloway,112
Dean Martin,112
Jackson 5,112
Otis Redding,111
Bryan Adams,111
John Debney,111
The Everly Brothers,111
Barry Manilow,111
Oasis,110
Marty Robbins,110
Creedence Clearwater Revival,110
Of Montreal,110
Fall Out Boy,110
John Williams,110
Nitty Gritty Dirt Band,109
Pink Floyd,109
Depeche Mode,109
Bad Brains,109
Thin Lizzy,109
Jean-Jacques Goldman,109
Eminem,109
Earl Klugh,109
HÃ©roes del Silencio,109
Irwin Goodman,108
Dionne Warwick,108
Weezer,108
Biohazard,108
Zoegirl,108
The Clash,108
Bee Gees,108
Kiss,108
Michael Stanley Band,107
Carpenters,107
Bryan Ferry,107
Sick Of It All,107
Varios,107
Bananarama,107
Buzzcocks,107
Sly & The Family Stone,107
Morrissey,107
Marlene Dietrich,107
Manic Street Preachers,107
The Ventures,107
Leonard Cohen,107
Tears For Fears,107
The Beach Boys,107
JOHN COLTRANE,106
Sonic Youth,106
Steve Vai,106
Harry Nilsson,106
MotÃ¶rhead,106
Napalm Death,106
Squarepusher,106
Kelly Clarkson,106
Uriah Heep,106
Amorphis,106
Marvin Gaye,105
BeyoncÃ©,105
Dropkick Murphys,105
Mance Lipscomb,105
The Cranberries,105
Penguin CafÃ© Orchestra,105
Donovan,105
Roy Orbison,105
Led Zeppelin,105
Fats Waller,104
Dusty Springfield,104
Hombres G,104
Chicago,104
Big Star,104
Prince,104
Gary Numan,104
Der Blutharsch,104
Sex Pistols,104
Jefferson Airplane,104
Cheap Trick,104
Andrew Bird,104
They Might Be Giants,103
Frank Ifield,103
Free,103
Jump5,103
Sister Sledge,103
Moby,103
Dan Fogelberg,103
Seguridad Social,103
Scooter,103
Flamin' Groovies,103
Mazz,103
Backstreet Boys,103
Melanie,103
Canned Heat,103
Badly Drawn Boy,102
King Curtis,102
Armored Saint,102
Emerson_ Lake & Palmer,102
The Meters,102
Pennywise,102
Us3,102
Metallica,102
Lily Allen,102
Joy Division,102
Percy Sledge,102
Andres Calamaro,101
Rancid,101
DJ Godfather,101
Overkill,101
Robbie Williams,101
Ana BelÃ©n,101
Porcupine Tree,101
Tito Puente,101
Smokie,101
Sean Paul,101
Buju Banton,100
John Prine,100
Jacques Higelin,100
Van Morrison,100
Bon Jovi,100
Sammi Cheng,100
Terry Callier,100
Gaither Vocal Band,99
McCoy Tyner,99
MÃ¶tley CrÃ_e,99
Natalie Cole,99
Pepe Pinto,99
Michael Card,99
Perry Como,99
Lonnie Johnson,99
Tanya Tucker,99
Black Label Society,99
Carmen McRae,99
Enigma,99
Sam & Dave,99
Diana Ross,99
Bob Baldwin,99
Glenn Miller,99
Meshuggah,99
Buddy Greco,99
Iron Maiden,99
Linkin Park,99
Ted Nugent,99
Steve Green,98
Saint Etienne,98
Sizzla,98
Deep Purple,98
Joni Mitchell,98
Pepe Aguilar,98
Fates Warning,98
Stanley Clarke,98
Frankie Valli & The Four Seasons,98
Son House,98
Air,98
Shirley Caesar,98
Cocteau Twins,98
Alice In Chains,98
STEVE CAMP,97
Harry Gregson-Williams,97
The Zombies,97
Jewel,97
Autechre,97
Talking Heads,97
Pavement,97
Fluke,97
David Sanborn,97
Ozric Tentacles,97
Art Tatum,97
Nat King Cole,97
Muddy Waters,97
The Wolfgang Press,97
My Life With The Thrill Kill Kult,97
Kenny G,97
The Psychedelic Furs,97
BjÃ¶rk,97
Erasure,97
Kenny Loggins,96
John Mayer,96
The Cardigans,96
M,96
Eels,96
Joe Bonamassa,96
Michael Martin Murphey,96
